YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,LocationID,TopicID,QuestionID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2015,2019,CT,Connecticut,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,Number,Number,421,421,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-72.64984095199964 41.56266102000046),9,CAN,CAN01,,NMBR,RACE,WHT,,,,
2015,2019,OH,Ohio,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Crude Rate,6.9,6.9,,,5.4,8.6,Race/Ethnicity,Hispanic,,,,,POINT (-82.40426005599966 40.06021014100048),39,CAN,CAN02,,CRDRATE,RACE,HIS,,,,
2016,2020,MT,Montana,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-109.42442064499971 47.06652897200047),30,CAN,CAN01,,AGEADJRATE,RACE,HIS,,,,
2015,2019,DC,District of Columbia,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-77.036871 38.907192),11,CAN,CAN07,,CRDRATE,RACE,AIAN,,,,
2016,2020,MT,Montana,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,Number,Number,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-109.42442064499971 47.06652897200047),30,CAN,CAN02,,NMBR,RACE,BLK,,,,
2015,2019,TX,Texas,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,19.9,19.9,,,19.6,20.2,Overall,Overall,,,,,POINT (-99.42677020599967 31.827240407000488),48,CAN,CAN02,,AGEADJRATE,OVERALL,OVR,,,,
2016,2020,MT,Montana,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Crude Rate,,,~,Data suppressed; too few respondents or cases,,,Sex,Male,,,,,POINT (-109.42442064499971 47.06652897200047),30,CAN,CAN03,,CRDRATE,SEX,SEXM,,,,
2015,2019,WV,West Virginia,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,521.3,521.3,,,515.3,527.3,Sex,Male,,,,,POINT (-80.71264013499967 38.66551020200046),54,CAN,CAN07,,AGEADJRATE,SEX,SEXM,,,,
2016,2020,ME,Maine,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,Number,Number,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-68.98503133599962 45.254228894000505),23,CAN,CAN05,,NMBR,RACE,API,,,,
2015,2019,AZ,Arizona,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Crude Rate,10.5,10.5,,,8.3,13.1,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-111.76381127699972 34.865970280000454),4,CAN,CAN02,,CRDRATE,RACE,AIAN,,,,
2015,2019,NJ,New Jersey,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,2.1,2.1,,,1.9,2.3,Overall,Overall,,,,,POINT (-74.27369128799967 40.13057004800049),34,CAN,CAN03,,AGEADJRATE,OVERALL,OVR,,,,
2016,2020,AR,Arkansas,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,22.4,22.4,,,20.3,24.5,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-92.27449074299966 34.74865012400045),5,CAN,CAN01,,AGEADJRATE,RACE,BLK,,,,
2016,2020,DC,District of Columbia,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-77.036871 38.907192),11,CAN,CAN03,,AGEADJRATE,RACE,HIS,,,,
2015,2019,KS,Kansas,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Crude Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-98.20078122699965 38.34774030000045),20,CAN,CAN03,,CRDRATE,RACE,API,,,,
2015,2019,DC,District of Columbia,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,Number,Number,97,97,,,,,Overall,Overall,,,,,POINT (-77.036871 38.907192),11,CAN,CAN02,,NMBR,OVERALL,OVR,,,,
2016,2020,MI,Michigan,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,477.2,477.2,,,474.7,479.8,Sex,Male,,,,,POINT (-84.71439026999968 44.6613195430005),26,CAN,CAN07,,AGEADJRATE,SEX,SEXM,,,,
2015,2019,NV,Nevada,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,332.5,332.5,,,323.2,341.9,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-117.07184056399967 39.493240390000494),32,CAN,CAN07,,CRDRATE,RACE,BLK,,,,
